0,1,2
139,165,1
139,146,6
139,197,2
139,198,6
139,140,1
139,199,1
140,197,1
140,198,1
140,87,2
140,200,2
140,195,1
140,199,5
109,199,11
109,90,2
158,165,4
158,181,5
158,155,2
158,84,1
165,146,2
165,84,2
165,197,1
165,187,2
146,169,3
146,147,8
146,198,4
181,179,1
181,190,1
181,191,2
181,155,3
181,84,1
181,201,1
181,202,6
155,192,2
155,203,4
155,204,1
155,205,1
155,159,1
155,86,1
84,197,4
84,201,2
84,85,1
84,203,1
84,86,2
197,206,1
197,201,1
197,85,2
197,87,2
187,179,1
187,182,1
187,183,1
187,185,3
187,186,1
187,207,2
187,208,12
187,209,1
187,210,2
187,201,1
169,147,2
169,198,2
169,211,3
198,206,2
198,212,1
198,211,1
198,200,1
198,213,6
198,199,2
211,206,2
211,212,1
211,214,4
211,215,3
211,216,3
211,182,5
170,172,1
170,174,2
170,171,1
171,182,3
171,217,1
171,184,1
172,174,2
174,175,3
175,218,4
175,177,3
175,176,1
176,219,2
176,177,2
176,220,2
176,179,1
176,184,4
176,185,5
218,219,3
218,184,1
177,219,5
177,221,2
177,178,1
219,222,2
219,221,4
219,184,1
184,222,5
184,183,1
184,217,3
184,185,3
222,221,3
222,220,2
222,185,1
221,220,1
221,178,2
220,178,2
220,179,2
220,190,3
220,185,2
220,210,1
185,179,2
185,186,1
185,210,1
179,190,3
179,210,3
179,201,1
190,191,2
190,210,3
190,202,3
210,207,5
210,209,3
210,201,2
210,223,1
210,202,2
201,208,1
201,85,2
201,202,2
201,203,1
191,192,1
202,223,2
202,203,2
202,224,1
202,204,2
192,157,2
192,204,1
203,85,1
203,225,2
203,224,1
203,204,1
203,205,2
203,86,3
204,224,2
204,205,2
205,157,3
205,193,2
205,226,4
205,194,3
205,159,1
159,194,2
159,81,4
159,86,1
86,85,4
86,225,2
86,81,4
86,227,3
86,88,1
157,193,1
193,194,3
194,226,2
81,227,5
81,73,2
73,227,1
73,228,1
73,229,1
73,230,4
73,70,3
85,208,4
85,223,2
85,225,1
85,87,2
85,231,2
85,232,4
85,233,6
206,212,6
206,87,1
87,200,1
87,234,1
87,235,1
87,88,1
87,195,1
199,200,5
199,213,4
199,196,3
199,236,3
212,214,3
212,237,1
212,238,2
212,200,1
212,239,2
212,234,8
212,240,5
212,241,1
200,213,3
200,242,1
200,239,4
200,195,1
213,243,1
213,244,8
213,242,1
213,239,1
213,245,3
214,243,4
214,237,1
214,238,2
214,215,1
214,239,2
237,243,1
237,246,1
237,238,2
237,247,1
238,246,4
238,215,2
239,243,6
239,242,3
239,248,2
239,249,2
239,250,1
239,247,2
239,234,1
234,242,3
234,247,2
234,251,3
234,235,1
234,228,2
234,252,1
240,253,2
240,247,1
240,254,3
240,235,3
240,255,2
240,241,7
241,215,1
241,235,2
241,255,2
241,256,2
241,257,2
241,258,1
241,231,4
241,233,2
243,246,3
243,244,3
215,208,1
246,248,1
244,242,4
244,259,3
248,260,6
248,250,1
248,247,2
247,250,2
247,254,1
208,209,6
216,182,3
216,183,5
216,217,1
182,183,4
182,217,2
183,217,5
183,186,2
186,253,2
253,207,2
207,209,2
209,223,2
209,231,2
223,225,1
223,224,1
231,258,3
231,232,6
231,233,4
225,224,2
225,226,2
225,232,2
225,227,2
232,233,3
232,227,1
233,235,2
233,227,3
233,88,1
227,88,1
227,229,3
227,230,1
88,228,3
88,229,1
74,228,1
74,196,1
74,70,2
74,89,4
235,251,1
235,261,2
235,256,2
235,228,4
235,262,2
235,229,1
195,228,1
195,196,2
242,259,3
242,228,1
242,196,3
245,236,3
245,263,4
245,264,2
259,265,2
259,249,1
259,263,2
259,266,1
228,262,1
196,236,3
196,89,1
265,267,2
265,268,2
265,260,3
265,249,3
265,266,1
249,260,1
249,250,2
249,266,1
249,269,1
249,252,2
263,236,4
263,270,2
263,271,12
263,272,1
263,273,1
263,274,1
263,275,1
266,267,1
266,276,1
266,277,1
266,278,2
266,66,2
266,67,1
266,269,1
266,252,1
267,268,2
267,276,1
267,278,2
268,260,3
260,250,1
276,271,1
276,279,2
276,277,3
276,278,1
278,280,2
278,67,2
250,251,2
250,254,1
250,269,1
269,251,2
269,66,1
269,67,2
269,252,3
269,281,3
252,251,1
252,66,1
252,68,2
252,281,1
252,262,1
252,70,2
251,254,3
251,261,1
251,281,1
251,262,3
254,261,1
254,255,2
261,255,3
261,282,1
261,281,1
261,262,2
281,67,1
281,68,2
281,262,2
281,283,1
262,68,1
262,283,1
255,282,2
255,257,1
256,282,2
256,258,1
256,283,3
256,229,1
256,230,1
229,283,3
229,230,5
282,257,2
282,258,1
257,258,1
236,277,1
236,89,2
236,90,1
236,272,1
89,277,1
89,66,1
89,90,1
89,64,1
277,284,1
277,280,2
277,66,1
90,272,3
90,42,3
90,64,3
272,273,3
272,131,1
272,264,4
272,275,5
272,285,1
272,105,1
264,131,3
264,275,11
270,286,2
270,271,3
270,273,1
271,286,1
271,287,2
271,284,1
273,274,3
273,288,1
273,289,2
273,42,3
273,275,1
273,285,1
274,290,1
274,288,1
274,275,1
274,291,1
275,131,1
275,292,2
275,291,2
286,287,1
286,293,1
287,293,2
293,284,1
293,289,3
293,294,4
293,42,2
293,295,2
293,64,1
284,279,2
284,280,1
284,295,2
295,294,1
295,43,2
295,64,3
295,62,1
295,65,1
66,67,5
66,68,1
66,70,1
66,65,2
67,68,2
70,69,1
65,64,2
65,62,2
65,63,1
64,42,1
64,44,3
42,289,2
42,43,3
42,44,1
42,24,1
131,18,1
131,292,3
131,285,2
131,105,2
285,288,2
285,18,1
285,291,2
285,296,4
285,105,4
105,17,3
105,18,1
105,296,1
105,23,1
288,290,2
288,289,3
288,296,1
288,23,1
288,24,2
289,297,2
289,294,2
290,291,1
291,298,3
291,296,4
296,18,2
296,292,1
296,298,1
296,23,1
23,18,5
23,20,2
23,22,3
23,299,5
23,25,1
24,299,2
24,45,1
297,294,2
297,45,2
294,43,1
45,43,2
45,299,1
45,25,2
45,32,2
45,46,1
43,44,1
43,62,1
43,46,4
44,62,2
62,63,1
62,46,3
46,32,2
17,18,2
17,130,1
17,20,1
18,130,5
18,292,1
18,20,1
130,292,1
20,300,1
20,134,3
20,21,7
292,298,2
21,134,5
21,22,5
300,134,2
299,25,1
25,32,1
301,301,0
