0,1,2
73,57,2
73,74,4
140,154,3
140,195,4
154,168,2
154,142,1
154,198,5
154,199,3
154,193,1
195,193,3
195,200,1
195,201,3
195,202,1
195,203,1
195,194,4
195,196,2
153,168,4
153,185,3
153,199,3
136,190,2
136,177,4
136,204,3
136,205,2
136,206,1
142,198,3
142,207,5
142,177,2
142,206,3
142,145,1
168,185,2
168,198,1
168,199,1
168,208,3
168,209,6
168,179,3
168,169,2
168,210,1
169,173,4
169,179,2
169,181,3
169,184,2
169,211,3
169,212,2
169,210,12
169,213,1
169,214,1
169,170,1
170,210,2
170,214,2
170,207,3
170,176,2
170,177,1
185,199,3
199,208,2
199,193,1
199,200,1
199,201,2
198,208,1
198,210,1
198,207,2
198,215,4
198,193,1
208,216,6
208,217,2
208,209,2
208,200,1
209,218,3
209,217,3
209,219,6
179,219,3
179,180,3
179,181,5
210,217,1
210,211,1
210,213,5
210,207,4
186,180,2
180,171,1
180,182,2
171,187,3
171,220,1
171,178,2
187,221,2
172,222,1
172,178,2
172,223,2
172,173,2
172,174,2
220,221,5
220,224,3
220,225,1
220,222,3
220,178,1
178,225,2
178,226,2
178,222,2
178,227,2
178,173,1
178,183,1
221,224,1
224,225,2
225,226,3
225,228,1
225,222,3
222,228,2
222,223,2
226,228,3
226,227,2
226,182,1
226,183,3
228,227,1
228,223,2
227,223,4
227,173,3
227,175,1
227,184,1
182,181,2
182,183,3
183,184,5
223,175,1
223,174,1
173,175,3
173,184,1
175,174,2
175,155,1
175,214,2
184,229,1
184,212,1
184,214,1
174,155,1
155,190,2
155,176,1
155,204,2
214,212,1
214,213,3
214,230,1
214,176,2
176,207,1
176,230,2
176,177,2
176,231,1
176,204,1
177,232,2
177,231,1
177,204,2
177,205,1
177,206,3
190,138,4
204,231,2
204,205,2
205,192,1
205,231,1
205,233,6
205,191,4
205,143,2
206,232,3
206,144,3
206,145,4
206,234,3
206,235,1
138,192,1
192,191,3
191,233,2
191,143,3
143,144,3
144,145,3
144,234,3
144,64,4
64,145,2
64,234,1
64,236,1
64,237,2
64,238,3
64,65,3
145,215,2
145,235,4
145,236,2
145,197,3
193,215,2
193,200,3
193,239,2
193,194,2
207,213,1
207,230,3
207,232,1
207,215,2
207,240,1
207,241,3
207,242,7
215,243,3
215,240,1
215,242,1
215,235,1
215,236,3
215,239,1
200,216,2
200,201,3
200,244,2
200,245,1
201,202,4
201,244,1
216,218,2
216,217,5
216,244,2
216,246,2
216,245,3
216,247,3
217,218,3
217,248,3
217,219,1
217,247,2
218,249,2
218,250,1
218,251,1
218,248,4
218,244,1
244,249,1
244,252,2
244,253,2
244,246,1
244,245,1
246,251,1
246,252,1
246,254,2
246,245,4
246,255,1
246,247,1
245,253,2
245,256,4
245,243,2
245,236,1
247,255,2
247,243,3
247,257,2
247,240,8
249,250,3
249,251,1
250,251,1
250,248,3
251,248,2
219,181,1
181,229,2
229,211,4
212,211,3
212,213,2
213,230,3
213,241,2
241,240,6
241,258,3
241,259,6
241,242,1
232,231,2
232,259,2
232,234,2
240,243,5
240,257,4
240,260,2
240,242,2
242,243,1
242,260,2
242,259,3
242,234,3
242,237,1
234,235,1
234,237,2
235,236,3
236,256,1
236,239,1
236,261,2
236,65,1
236,197,1
197,194,1
197,65,2
197,54,3
243,256,1
243,262,2
243,260,2
239,194,3
194,203,2
194,196,1
202,203,3
202,263,4
203,264,2
203,265,1
203,253,2
203,263,1
203,266,2
203,267,3
263,264,1
263,196,2
263,268,4
263,269,1
263,270,7
263,271,1
263,272,1
264,265,3
264,273,4
264,274,2
264,275,1
264,266,2
265,276,3
265,277,1
265,273,1
265,253,1
265,275,1
265,278,1
253,273,2
253,254,2
253,278,1
266,196,2
266,274,1
266,275,4
266,279,3
266,278,2
266,59,1
266,57,1
266,48,2
266,55,2
267,278,2
267,59,3
267,280,2
267,61,2
267,281,1
267,261,1
267,65,3
273,276,1
273,277,3
273,252,5
273,254,1
274,268,1
274,282,2
274,275,2
275,276,1
275,279,1
275,283,1
275,278,2
276,277,2
276,278,1
278,283,2
278,59,2
278,60,1
278,280,1
252,254,1
254,256,2
254,255,1
256,255,3
256,262,1
256,280,3
256,261,2
255,257,1
262,257,2
262,260,1
262,284,1
262,281,1
262,261,3
280,60,2
280,61,1
280,281,4
261,281,2
261,285,1
257,284,2
257,286,2
260,284,2
260,258,1
260,285,2
260,237,1
284,286,2
284,258,1
281,60,1
281,61,2
281,285,1
286,258,1
285,237,3
237,238,5
65,59,1
65,63,3
196,54,2
196,57,5
196,270,1
54,59,2
54,57,1
54,55,1
57,270,4
57,271,1
57,74,1
270,268,1
270,271,4
270,74,1
268,269,2
268,287,2
268,272,1
268,28,4
268,48,3
268,30,1
269,287,2
269,288,1
269,289,2
269,282,3
271,272,3
271,290,1
271,28,6
271,32,1
271,291,1
271,292,1
271,33,6
272,287,1
272,288,1
272,293,1
272,291,1
287,288,1
287,293,1
287,290,1
28,27,2
28,294,4
28,48,1
28,30,4
28,33,2
48,279,2
48,29,3
48,30,3
48,49,1
48,55,2
30,55,1
288,289,3
289,282,1
293,290,2
290,295,3
290,294,2
279,283,3
279,60,1
279,49,3
279,55,1
283,60,1
59,60,5
59,61,1
59,55,1
55,49,2
55,56,1
60,61,2
49,29,1
49,56,2
61,63,1
63,62,2
74,116,1
74,32,1
74,118,1
74,119,1
32,116,4
32,75,2
32,292,1
32,34,1
291,296,3
291,292,3
292,116,3
292,119,2
292,33,6
33,297,1
33,34,3
33,25,1
295,297,3
295,294,5
294,297,1
294,27,3
294,5,1
297,27,3
27,25,1
27,298,4
27,299,2
27,5,2
25,34,1
25,300,2
298,300,2
298,26,2
298,31,4
298,299,1
299,31,2
299,5,9
5,29,3
5,31,3
5,6,4
31,26,1
116,75,1
116,119,1
118,115,13
118,119,2
118,296,1
119,117,1
119,296,2
75,76,2
75,117,1
75,34,1
34,24,2
76,117,3
76,77,1
117,115,4
77,24,1
24,300,5
300,26,1
